q_name,q_label,gender,response,n
IC008Q01TA,Use digital devices outside school for playing one-player games.,Male,Once or twice a month,258
IC008Q01TA,Use digital devices outside school for playing one-player games.,Male,Once or twice a week,576
IC008Q01TA,Use digital devices outside school for playing one-player games.,Male,Almost every day,428
IC008Q01TA,Use digital devices outside school for playing one-player games.,Male,Every day,317
IC008Q02TA,Use digital devices outside school for playing collaborative online games.,Female,Never or hardly ever,1306
IC008Q02TA,Use digital devices outside school for playing collaborative online games.,Female,Once or twice a month,259
IC008Q02TA,Use digital devices outside school for playing collaborative online games.,Female,Once or twice a week,173
IC008Q02TA,Use digital devices outside school for playing collaborative online games.,Female,Almost every day,73
IC008Q02TA,Use digital devices outside school for playing collaborative online games.,Female,Every day,59
IC008Q02TA,Use digital devices outside school for playing collaborative online games.,Male,Never or hardly ever,386
IC008Q02TA,Use digital devices outside school for playing collaborative online games.,Male,Once or twice a month,235
IC008Q02TA,Use digital devices outside school for playing collaborative online games.,Male,Once or twice a week,437
IC008Q02TA,Use digital devices outside school for playing collaborative online games.,Male,Almost every day,382
IC008Q02TA,Use digital devices outside school for playing collaborative online games.,Male,Every day,416
IC008Q03TA,Use digital devices outside school for using email.,Female,Never or hardly ever,233
IC008Q03TA,Use digital devices outside school for using email.,Female,Once or twice a month,405
IC008Q03TA,Use digital devices outside school for using email.,Female,Once or twice a week,617
IC008Q03TA,Use digital devices outside school for using email.,Female,Almost every day,397
IC008Q03TA,Use digital devices outside school for using email.,Female,Every day,220
IC008Q03TA,Use digital devices outside school for using email.,Male,Never or hardly ever,314
IC008Q03TA,Use digital devices outside school for using email.,Male,Once or twice a month,328
IC008Q03TA,Use digital devices outside school for using email.,Male,Once or twice a week,607
IC008Q03TA,Use digital devices outside school for using email.,Male,Almost every day,342
IC008Q03TA,Use digital devices outside school for using email.,Male,Every day,266
IC008Q04TA,Use digital devices outside school for <Chatting online> (e.g. <MSN®>).,Female,Never or hardly ever,107
IC008Q04TA,Use digital devices outside school for <Chatting online> (e.g. <MSN®>).,Female,Once or twice a month,70
IC008Q04TA,Use digital devices outside school for <Chatting online> (e.g. <MSN®>).,Female,Once or twice a week,184
IC008Q04TA,Use digital devices outside school for <Chatting online> (e.g. <MSN®>).,Female,Almost every day,443
IC008Q04TA,Use digital devices outside school for <Chatting online> (e.g. <MSN®>).,Female,Every day,1084
IC008Q04TA,Use digital devices outside school for <Chatting online> (e.g. <MSN®>).,Male,Never or hardly ever,135
IC008Q04TA,Use digital devices outside school for <Chatting online> (e.g. <MSN®>).,Male,Once or twice a month,66
IC008Q04TA,Use digital devices outside school for <Chatting online> (e.g. <MSN®>).,Male,Once or twice a week,245
IC008Q04TA,Use digital devices outside school for <Chatting online> (e.g. <MSN®>).,Male,Almost every day,500
IC008Q04TA,Use digital devices outside school for <Chatting online> (e.g. <MSN®>).,Male,Every day,917
IC008Q05TA,"Use digital devices outside school for social networks (e.g. <Facebook>, <MySpace>).",Female,Never or hardly ever,123
IC008Q05TA,"Use digital devices outside school for social networks (e.g. <Facebook>, <MySpace>).",Female,Once or twice a month,50
IC008Q05TA,"Use digital devices outside school for social networks (e.g. <Facebook>, <MySpace>).",Female,Once or twice a week,161
IC008Q05TA,"Use digital devices outside school for social networks (e.g. <Facebook>, <MySpace>).",Female,Almost every day,400
IC008Q05TA,"Use digital devices outside school for social networks (e.g. <Facebook>, <MySpace>).",Female,Every day,1135
IC008Q05TA,"Use digital devices outside school for social networks (e.g. <Facebook>, <MySpace>).",Male,Never or hardly ever,187
IC008Q05TA,"Use digital devices outside school for social networks (e.g. <Facebook>, <MySpace>).",Male,Once or twice a month,74
IC008Q05TA,"Use digital devices outside school for social networks (e.g. <Facebook>, <MySpace>).",Male,Once or twice a week,236
IC008Q05TA,"Use digital devices outside school for social networks (e.g. <Facebook>, <MySpace>).",Male,Almost every day,465
IC008Q05TA,"Use digital devices outside school for social networks (e.g. <Facebook>, <MySpace>).",Male,Every day,896
IC008Q07NA,"Use digital devices outside school for online games\Social Networks (e.g. <Farmville®>, <The Sims Social>).",Female,Never or hardly ever,1198
IC008Q07NA,"Use digital devices outside school for online games\Social Networks (e.g. <Farmville®>, <The Sims Social>).",Female,Once or twice a month,276
IC008Q07NA,"Use digital devices outside school for online games\Social Networks (e.g. <Farmville®>, <The Sims Social>).",Female,Once or twice a week,183
IC008Q07NA,"Use digital devices outside school for online games\Social Networks (e.g. <Farmville®>, <The Sims Social>).",Female,Almost every day,100
IC008Q07NA,"Use digital devices outside school for online games\Social Networks (e.g. <Farmville®>, <The Sims Social>).",Female,Every day,105
IC008Q07NA,"Use digital devices outside school for online games\Social Networks (e.g. <Farmville®>, <The Sims Social>).",Male,Never or hardly ever,963
IC008Q07NA,"Use digital devices outside school for online games\Social Networks (e.g. <Farmville®>, <The Sims Social>).",Male,Once or twice a month,220
